"UF";"Mês/Ano";"Valor Transferido";
"SC";"11/2019";"18.984.261,00";
"DF";"12/2019";"12.284.381,00";
"AC";"12/2019";"23.844.619,00";
"AP";"12/2019";"17.204.525,00";
"MS";"12/2019";"21.022.936,00";
"AL";"12/2019";"76.202.903,00";
"MT";"12/2019";"24.648.134,00";
"PI";"12/2019";"93.293.264,00";
"BA";"12/2019";"332.690.778,00";
"SC";"12/2019";"19.008.002,00";
"RR";"12/2019";"9.751.556,00";
"SE";"12/2019";"48.341.887,00";
"RO";"12/2019";"11.116.510,00";
"TO";"12/2019";"21.160.501,00";
"PA";"12/2019";"188.501.912,00";
"PB";"12/2019";"102.840.670,00";
"MA";"12/2019";"201.890.971,00";
"RS";"12/2019";"57.131.513,00";
"PR";"12/2019";"55.838.776,00";
"AM";"12/2019";"90.215.464,00";
"CE";"12/2019";"194.843.657,00";
"ES";"12/2019";"29.906.969,00";
"MG";"12/2019";"179.616.050,00";
"SP";"12/2019";"240.361.837,00";
"RN";"12/2019";"64.609.592,00";
"GO";"12/2019";"44.808.080,00";
"PE";"12/2019";"210.476.034,00";
"RJ";"12/2019";"154.134.486,00";
"DF";"01/2020";"12.109.549,00";
"AC";"01/2020";"23.751.168,00";
"SE";"01/2020";"48.053.315,00";
"PB";"01/2020";"102.480.740,00";
"MT";"01/2020";"24.875.571,00";
"RR";"01/2020";"9.783.196,00";
"AM";"01/2020";"89.997.046,00";
"AP";"01/2020";"17.126.057,00";
"ES";"01/2020";"30.045.406,00";
"MS";"01/2020";"21.082.352,00";
"RN";"01/2020";"64.485.783,00";
"SC";"01/2020";"19.692.859,00";
"MA";"01/2020";"201.008.543,00";
"RS";"01/2020";"58.169.198,00";
"BA";"01/2020";"331.509.144,00";
"TO";"01/2020";"21.036.677,00";
"AL";"01/2020";"75.871.404,00";
"GO";"01/2020";"45.408.714,00";
"PA";"01/2020";"187.357.920,00";
"PI";"01/2020";"93.077.045,00";
"RO";"01/2020";"11.459.692,00";
"PR";"01/2020";"56.773.228,00";
"PE";"01/2020";"209.482.184,00";
"CE";"01/2020";"193.928.986,00";
"RJ";"01/2020";"154.423.484,00";
"SP";"01/2020";"243.031.821,00";
"MG";"01/2020";"180.549.476,00";
